iter	Passed	Remaining
0	0	642
1	1	569
2	1	526
3	2	509
4	2	494
5	2	485
6	3	488
7	3	490
8	4	488
9	4	490
10	5	490
11	5	486
12	6	485
13	6	483
14	7	486
15	7	489
16	8	487
17	8	487
18	9	487
19	9	487
20	10	486
21	10	488
22	11	489
23	11	487
24	12	492
25	13	491
26	13	490
27	14	492
28	14	491
29	15	490
30	15	490
31	16	489
32	16	488
33	17	487
34	17	486
35	18	485
36	18	485
37	19	484
38	19	484
39	20	483
40	20	483
41	21	483
42	21	483
43	22	484
44	22	483
45	23	483
46	23	482
47	24	481
48	24	481
49	25	480
50	25	479
51	26	478
52	26	479
53	27	477
54	27	477
55	28	477
56	28	476
57	29	476
58	29	475
59	30	476
60	30	475
61	31	475
62	31	475
63	32	474
64	32	474
65	33	473
66	33	473
67	34	473
68	35	473
69	35	471
70	35	470
71	36	470
72	36	469
73	37	468
74	38	469
75	38	469
76	39	468
77	39	467
78	40	467
79	40	466
80	41	466
81	41	466
82	41	462
83	42	462
84	42	461
85	43	461
86	43	460
87	44	460
88	44	460
89	45	459
90	46	459
91	46	459
92	47	459
93	47	458
94	48	458
95	48	457
96	49	457
97	49	456
98	50	456
99	50	455
100	51	454
101	51	454
102	52	453
103	52	452
104	52	451
105	53	450
106	53	450
107	54	449
108	54	449
109	55	449
110	56	448
111	56	447
112	57	447
113	57	447
114	57	446
115	58	445
116	58	444
117	59	444
118	59	444
119	60	443
120	60	442
121	61	441
122	61	441
123	62	441
124	62	440
125	63	440
126	63	438
127	64	438
128	64	438
129	65	437
130	65	437
131	66	437
132	67	437
133	67	436
134	68	436
135	68	435
136	69	435
137	69	434
138	70	433
139	70	433
140	71	433
141	71	432
142	72	431
143	72	431
144	73	431
145	73	431
146	74	430
147	74	430
148	75	429
149	75	429
150	76	428
151	76	429
152	77	428
153	77	428
154	78	427
155	78	426
156	79	426
157	79	425
158	80	425
159	80	424
160	81	423
161	81	422
162	82	422
163	82	421
164	83	421
165	83	420
166	84	420
167	84	420
168	85	419
169	85	419
170	86	418
171	86	418
172	87	417
173	87	417
174	88	416
175	88	415
176	89	415
177	89	414
178	90	414
179	90	413
180	91	413
181	91	413
182	92	412
183	92	412
184	93	411
185	93	411
186	94	410
187	94	409
188	95	409
189	95	409
190	96	408
191	96	408
192	97	407
193	98	407
194	98	407
195	99	406
196	99	406
197	100	406
198	100	405
199	101	404
200	101	403
201	102	403
202	102	402
203	102	401
204	103	401
205	104	401
206	104	400
207	105	399
208	105	399
209	106	399
210	106	398
211	107	397
212	107	397
213	107	396
214	108	395
215	108	395
216	109	394
217	109	393
218	110	392
219	110	392
220	111	391
221	111	391
222	112	390
223	112	389
224	112	388
225	113	388
226	113	387
227	114	387
228	114	386
229	115	386
230	116	386
231	116	385
232	117	385
233	117	384
234	118	384
235	118	383
236	118	382
237	119	382
238	119	381
239	120	380
240	120	380
241	121	379
242	121	378
243	122	378
244	122	377
245	123	377
246	123	376
247	123	375
248	124	375
249	124	374
250	125	373
251	125	373
252	126	372
253	126	371
254	127	371
255	127	370
256	128	370
257	128	370
258	129	369
259	129	369
260	130	368
261	130	368
262	131	367
263	131	367
264	132	367
265	132	366
266	133	366
267	133	365
268	134	365
269	134	364
270	135	364
271	135	363
272	136	363
273	137	363
274	137	362
275	138	362
276	138	362
277	139	361
278	139	361
279	140	360
280	140	360
281	141	359
282	141	359
283	142	358
284	142	358
285	143	358
286	143	357
287	144	357
288	144	356
289	145	356
290	145	355
291	146	354
292	146	354
293	147	353
294	147	353
295	148	352
296	148	352
297	149	351
298	149	350
299	150	350
300	150	349
301	151	349
302	151	348
303	152	348
304	152	347
305	153	347
306	153	346
307	154	346
308	154	346
309	155	345
310	155	344
311	156	344
312	156	343
313	157	343
314	157	342
315	158	342
316	158	341
317	159	341
318	159	340
319	160	340
320	160	340
321	161	339
322	161	339
323	162	338
324	162	338
325	163	337
326	163	337
327	164	336
328	164	336
329	165	335
330	165	335
331	166	334
332	166	334
333	167	333
334	167	333
335	168	332
336	168	332
337	169	331
338	169	330
339	170	330
340	170	329
341	171	329
342	171	328
343	172	328
344	172	327
345	173	327
346	173	327
347	174	326
348	175	326
349	175	325
350	175	325
351	176	324
352	177	324
353	177	323
354	178	323
355	178	322
356	178	322
357	179	321
358	179	321
359	180	320
360	180	320
361	181	319
362	181	319
363	182	318
364	182	318
365	183	317
366	183	316
367	184	316
368	184	315
369	185	315
370	185	314
371	186	314
372	186	313
373	187	313
374	187	312
375	188	312
376	188	311
377	189	311
378	189	310
379	190	310
380	190	309
381	191	309
382	191	308
383	192	308
384	192	307
385	193	307
386	193	306
387	194	306
388	194	305
389	195	305
390	195	304
391	196	304
392	196	303
393	197	303
394	197	302
395	198	302
396	198	301
397	199	301
398	199	300
399	200	300
400	200	299
401	201	299
402	201	298
403	202	298
404	202	297
405	203	297
406	203	296
407	204	296
408	204	295
409	205	295
410	205	294
411	206	294
412	206	293
413	206	292
414	207	292
415	207	291
416	208	291
417	209	291
418	209	290
419	210	290
420	210	289
421	211	289
422	211	288
423	211	287
424	212	287
425	212	286
426	213	286
427	213	285
428	214	285
429	214	284
430	215	284
431	216	284
432	216	283
433	217	283
434	217	282
435	217	281
436	218	281
437	218	280
438	219	280
439	220	280
440	220	279
441	221	279
442	221	278
443	222	278
444	222	277
445	223	277
446	223	276
447	224	276
448	224	275
449	224	274
450	225	274
451	225	273
452	226	273
453	226	272
454	227	272
455	227	271
456	228	271
457	228	270
458	229	270
459	229	269
460	230	269
461	230	268
462	231	268
463	232	268
464	232	267
465	232	266
466	233	266
467	233	265
468	234	265
469	234	264
470	235	264
471	235	263
472	236	263
473	237	263
474	237	262
475	238	262
476	238	261
477	238	260
478	239	260
479	239	259
480	240	259
481	240	258
482	241	258
483	241	257
484	242	257
485	242	256
486	243	256
487	243	255
488	244	255
489	244	254
490	245	254
491	245	253
492	245	252
493	246	252
494	246	251
495	247	251
496	247	250
497	248	250
498	248	249
499	249	249
500	249	248
501	249	247
502	250	247
503	250	246
504	251	246
505	251	245
506	252	245
507	252	244
508	253	244
509	253	243
510	253	243
